X1,X2,X3,X4,Y
-0.32400702075818544,-0.27236748960215973,-0.22208393818679495,-0.17346770882681906,-0.12683014383696012
-0.27236748960215973,-0.22208393818679495,-0.17346770882681906,-0.12683014383696012,-0.08248258553194554
-0.22208393818679495,-0.17346770882681906,-0.12683014383696012,-0.08248258553194554,-0.04073637622650328
-0.17346770882681906,-0.12683014383696012,-0.08248258553194554,-0.04073637622650328,-0.0019028582353611823
-0.12683014383696012,-0.08248258553194554,-0.04073637622650328,-0.0019028582353611823,0.03370662612675335
-0.08248258553194554,-0.04073637622650328,-0.0019028582353611823,0.03370662612675335,0.06578073454511246
-0.04073637622650328,-0.0019028582353611823,0.03370662612675335,0.06578073454511246,0.09400812470498843
-0.0019028582353611823,0.03370662612675335,0.06578073454511246,0.09400812470498843,0.1180774542916534
0.03370662612675335,0.06578073454511246,0.09400812470498843,0.1180774542916534,0.13767738099037974
0.06578073454511246,0.09400812470498843,0.1180774542916534,0.13767738099037974,0.15244433038301985
0.09400812470498843,0.1180774542916534,0.13767738099037974,0.15244433038301985,0.16179139832070955
0.1180774542916534,0.13767738099037974,0.15244433038301985,0.16179139832070955,0.16502184328302882
0.13767738099037974,0.15244433038301985,0.16179139832070955,0.16502184328302882,0.16142340073176809
0.15244433038301985,0.16179139832070955,0.16502184328302882,0.16142340073176809,0.15027931932571237
0.16179139832070955,0.16502184328302882,0.16142340073176809,0.15027931932571237,0.13087304374741793
0.16502184328302882,0.16142340073176809,0.15027931932571237,0.13087304374741793,0.10247112627830446
0.16142340073176809,0.15027931932571237,0.13087304374741793,0.10247112627830446,0.06467486527677502
0.15027931932571237,0.13087304374741793,0.10247112627830446,0.06467486527677502,0.018908370351433446
0.13087304374741793,0.10247112627830446,0.06467486527677502,0.018908370351433446,-0.03231830977853023
0.10247112627830446,0.06467486527677502,0.018908370351433446,-0.03231830977853023,-0.0861706311172834
0.06467486527677502,0.018908370351433446,-0.03231830977853023,-0.0861706311172834,-0.13969023710508022
0.018908370351433446,-0.03231830977853023,-0.0861706311172834,-0.13969023710508022,-0.18985453466729363
-0.03231830977853023,-0.0861706311172834,-0.13969023710508022,-0.18985453466729363,-0.23369696819875663
-0.0861706311172834,-0.13969023710508022,-0.18985453466729363,-0.23369696819875663,-0.26879316916827856
-0.13969023710508022,-0.18985453466729363,-0.23369696819875663,-0.26879316916827856,-0.29385118643395347
-0.18985453466729363,-0.23369696819875663,-0.26879316916827856,-0.29385118643395347,-0.30773040910480287
-0.23369696819875663,-0.26879316916827856,-0.29385118643395347,-0.30773040910480287,-0.3092605803168017
-0.26879316916827856,-0.29385118643395347,-0.30773040910480287,-0.3092605803168017,-0.2972924390742767
-0.29385118643395347,-0.30773040910480287,-0.3092605803168017,-0.2972924390742767,-0.2709459468185731
-0.30773040910480287,-0.3092605803168017,-0.2972924390742767,-0.2709459468185731,-0.2305475622093015
-0.3092605803168017,-0.2972924390742767,-0.2709459468185731,-0.2305475622093015,-0.17834328709092906
-0.2972924390742767,-0.2709459468185731,-0.2305475622093015,-0.17834328709092906,-0.11738477627045507
-0.2709459468185731,-0.2305475622093015,-0.17834328709092906,-0.11738477627045507,-0.050937160005686044
-0.2305475622093015,-0.17834328709092906,-0.11738477627045507,-0.050937160005686044,0.017670898616572117
-0.17834328709092906,-0.11738477627045507,-0.050937160005686044,0.017670898616572117,0.08524938061483889
-0.11738477627045507,-0.050937160005686044,0.017670898616572117,0.08524938061483889,0.14918140126777746
-0.050937160005686044,0.017670898616572117,0.08524938061483889,0.14918140126777746,0.20573791339605263
0.017670898616572117,0.08524938061483889,0.14918140126777746,0.20573791339605263,0.251104759615445
0.08524938061483889,0.14918140126777746,0.20573791339605263,0.251104759615445,0.2820981809507457
0.14918140126777746,0.20573791339605263,0.251104759615445,0.2820981809507457,0.29617913628364745
0.20573791339605263,0.251104759615445,0.2820981809507457,0.29617913628364745,0.29225144434034767
0.251104759615445,0.2820981809507457,0.29617913628364745,0.29225144434034767,0.26985695232971074
0.2820981809507457,0.29617913628364745,0.29225144434034767,0.26985695232971074,0.2291708148289755
0.29617913628364745,0.29225144434034767,0.26985695232971074,0.2291708148289755,0.17069577488460697
0.29225144434034767,0.26985695232971074,0.2291708148289755,0.17069577488460697,0.09514833124112188
0.26985695232971074,0.2291708148289755,0.17069577488460697,0.09514833124112188,0.003949793319773853
0.2291708148289755,0.17069577488460697,0.09514833124112188,0.003949793319773853,-0.09956564302776294
0.17069577488460697,0.09514833124112188,0.003949793319773853,-0.09956564302776294,-0.2095502806960461
0.09514833124112188,0.003949793319773853,-0.09956564302776294,-0.2095502806960461,-0.3188963944822426
0.003949793319773853,-0.09956564302776294,-0.2095502806960461,-0.3188963944822426,-0.42014885826994286
-0.09956564302776294,-0.2095502806960461,-0.3188963944822426,-0.42014885826994286,-0.5063625554720114
