X1,X2,X3,X4,X5,Y
-0.687389013860065,-0.5574588216419468,-0.43582269644213567,-0.3222658699725388,-0.21657357394505727,-0.11853104007159443
-0.5574588216419468,-0.43582269644213567,-0.3222658699725388,-0.21657357394505727,-0.11853104007159443,-0.027923500064054307
-0.43582269644213567,-0.3222658699725388,-0.21657357394505727,-0.11853104007159443,-0.027923500064054307,0.055463814365659614
-0.3222658699725388,-0.21657357394505727,-0.11853104007159443,-0.027923500064054307,0.055463814365659614,0.1318456715056442
-0.21657357394505727,-0.11853104007159443,-0.027923500064054307,0.055463814365659614,0.1318456715056442,0.2014368396439956
-0.11853104007159443,-0.027923500064054307,0.055463814365659614,0.1318456715056442,0.2014368396439956,0.2644520870688105
-0.027923500064054307,0.055463814365659614,0.1318456715056442,0.2014368396439956,0.2644520870688105,0.3211061820681853
0.055463814365659614,0.1318456715056442,0.2014368396439956,0.2644520870688105,0.3211061820681853,0.3716138929302175
0.1318456715056442,0.2014368396439956,0.2644520870688105,0.3211061820681853,0.3716138929302175,0.41618998794300177
0.2014368396439956,0.2644520870688105,0.3211061820681853,0.3716138929302175,0.41618998794300177,0.4550492353946374
0.2644520870688105,0.3211061820681853,0.3716138929302175,0.41618998794300177,0.4550492353946374,0.4884064035732196
0.3211061820681853,0.3716138929302175,0.41618998794300177,0.4550492353946374,0.4884064035732196,0.516476260766842
0.3716138929302175,0.41618998794300177,0.4550492353946374,0.4884064035732196,0.516476260766842,0.5394730671368904
0.41618998794300177,0.4550492353946374,0.4884064035732196,0.516476260766842,0.5394730671368904,0.5576087648551207
0.4550492353946374,0.4884064035732196,0.516476260766842,0.5394730671368904,0.5576087648551207,0.5710887504610556
0.4884064035732196,0.516476260766842,0.5394730671368904,0.5576087648551207,0.5710887504610556,0.5800938836132381
0.516476260766842,0.5394730671368904,0.5576087648551207,0.5710887504610556,0.5800938836132381,0.5847814519946017
0.5394730671368904,0.5576087648551207,0.5710887504610556,0.5800938836132381,0.5847814519946017,0.5853040741878013
0.5576087648551207,0.5710887504610556,0.5800938836132381,0.5847814519946017,0.5853040741878013,0.5818143687754826
0.5710887504610556,0.5800938836132381,0.5847814519946017,0.5853040741878013,0.5818143687754826,0.5744649543403066
0.5800938836132381,0.5847814519946017,0.5853040741878013,0.5818143687754826,0.5744649543403066,0.5634084494649212
0.5847814519946017,0.5853040741878013,0.5818143687754826,0.5744649543403066,0.5634084494649212,0.5487974727319773
0.5853040741878013,0.5818143687754826,0.5744649543403066,0.5634084494649212,0.5487974727319773,0.530784642724133
0.5818143687754826,0.5744649543403066,0.5634084494649212,0.5487974727319773,0.530784642724133,0.5095227288044952
0.5744649543403066,0.5634084494649212,0.5487974727319773,0.530784642724133,0.5095227288044952,0.48516851795844973
0.5634084494649212,0.5487974727319773,0.530784642724133,0.5095227288044952,0.48516851795844973,0.4578946663464618
0.5487974727319773,0.530784642724133,0.5095227288044952,0.48516851795844973,0.4578946663464618,0.42788868495884613
0.530784642724133,0.5095227288044952,0.48516851795844973,0.4578946663464618,0.42788868495884613,0.39536942592872126
0.5095227288044952,0.48516851795844973,0.4578946663464618,0.42788868495884613,0.39536942592872126,0.3606329975902056
0.48516851795844973,0.4578946663464618,0.42788868495884613,0.39536942592872126,0.3606329975902056,0.324038497018166
0.4578946663464618,0.42788868495884613,0.39536942592872126,0.3606329975902056,0.324038497018166,0.2860213238129461
0.42788868495884613,0.39536942592872126,0.3606329975902056,0.324038497018166,0.2860213238129461,0.247085257526801
0.39536942592872126,0.3606329975902056,0.324038497018166,0.2860213238129461,0.247085257526801,0.20777128337640582
0.3606329975902056,0.324038497018166,0.2860213238129461,0.247085257526801,0.20777128337640582,0.1686266857411507
0.324038497018166,0.2860213238129461,0.247085257526801,0.20777128337640582,0.1686266857411507,0.13019808311191916
0.2860213238129461,0.247085257526801,0.20777128337640582,0.1686266857411507,0.13019808311191916,0.09302019034661568
0.247085257526801,0.20777128337640582,0.1686266857411507,0.13019808311191916,0.09302019034661568,0.0575797376425673
