"","year","sunspot"
"234",1843,8.2
"235",1844,11.8
"236",1845,29.8
"237",1846,43.8
"238",1847,58
"239",1848,85.8
"240",1849,83.7
"241",1850,55
"242",1851,58.1
"243",1852,49.8
"244",1853,35.6
"245",1854,17.3
"246",1855,4.5
"247",1856,3.1
"248",1857,17.4
"249",1858,44.4
"250",1859,75.6
"251",1860,85.6
"252",1861,70.7
"253",1862,50.5
"254",1863,40.9
"255",1864,34.5
"256",1865,22.6
"257",1866,13.7
"258",1867,6.2
"259",1868,28.9
"260",1869,62.3
"261",1870,96.2
"262",1871,86.9
"263",1872,80.1
"264",1873,51.7
"265",1874,35
"266",1875,15.5
"267",1876,9.1
"268",1877,8.5
"269",1878,2.7
"270",1879,4.4
"271",1880,24.8
"272",1881,45.2
"273",1882,47.9
"274",1883,54.7
"275",1884,61.7
"276",1885,47.3
"277",1886,22.6
"278",1887,12.7
"279",1888,7.6
"280",1889,5.8
"281",1890,7.8
"282",1891,38.9
"283",1892,68.3
"284",1893,87.9
"285",1894,88
"286",1895,69.2
"287",1896,39.7
"288",1897,30.6
"289",1898,26
"290",1899,12.3
"291",1900,9.1
"292",1901,2.5
"293",1902,3.8
"294",1903,24.1
"295",1904,45.3
"296",1905,61
"297",1906,56.2
"298",1907,61.4
"299",1908,53.1
"300",1909,46.4
"301",1910,21.5
"302",1911,8.5
"303",1912,3.6
"304",1913,1.6
"305",1914,12.4
"306",1915,50.5
"307",1916,67.1
"308",1917,110.1
"309",1918,89.2
"310",1919,71.6
"311",1920,43.5
"312",1921,28.7
"313",1922,15.8
"314",1923,6.9
"315",1924,18.2
"316",1925,51.2
"317",1926,70.8
"318",1927,77.6
"319",1928,82.3
"320",1929,74.4
"321",1930,44.2
"322",1931,26
"323",1932,13.5
"324",1933,5.9
"325",1934,10.4
"326",1935,42.8
"327",1936,88.8
"328",1937,120.6
"329",1938,113.6
"330",1939,97.3
"331",1940,71.7
"332",1941,49.9
"333",1942,32.8
"334",1943,15.5
"335",1944,10.7
"336",1945,37.3
"337",1946,95.3
"338",1947,144.9
"339",1948,127.5
"340",1949,129.3
"341",1950,76
"342",1951,58.3
"343",1952,29.6
"344",1953,13.6
"345",1954,4.4
"346",1955,38.1
"347",1956,126.1
"348",1957,165.9
"349",1958,175.1
"350",1959,149.5
"351",1960,103.8
"352",1961,49.1
"353",1962,31.4
"354",1963,24.5
"355",1964,10.2
"356",1965,14.6
"357",1966,43.8
"358",1967,95.8
"359",1968,98.2
"360",1969,96
"361",1970,108.5
"362",1971,73.5
"363",1972,72
"364",1973,39.3
"365",1974,34
"366",1975,15.1
"367",1976,13.5
"368",1977,30.1
"369",1978,102.7
"370",1979,155.7
"371",1980,141.1
"372",1981,140.9
"373",1982,116.4
"374",1983,71.6
"375",1984,44
"376",1985,16.9
"377",1986,12.1
"378",1987,27.6
"379",1988,89.3
"380",1989,147.7
"381",1990,148.5
"382",1991,146.2
"383",1992,96.2
"384",1993,53.9
"385",1994,35.7
"386",1995,19
