1,1,1,1,1,1,1,1
1.0003,0.86676,0.72279,0.4945,0.08555,-0.37087,-0.69551,-0.88081
-0.9804,-0.9977,-0.99162,-0.99396,-0.987,-0.98508,-0.98526,-0.9913
0.58202,0.81425,0.6458,0.44321,0.092997,-0.28478,-0.5297,-0.68931
0.17205,-0.4976,-0.69286,-0.86614,-0.8913,-0.79903,-0.57241,-0.066544
0.10035,-0.15178,-0.0957,-0.014301,0.12817,0.24724,0.3261,0.15898
0.37226,-0.038497,0.021329,0.014081,-0.047159,-0.038822,-0.034432,0.027881
-0.11574,-0.3312,-0.19162,-0.12938,-0.0087892,0.17861,0.17985,0.28111
0.086609,0.095138,0.22458,0.24734,0.36766,0.21697,0.2114,0.006381
-0.17327,-0.14012,-0.082799,-0.060594,-0.018099,-0.11208,-0.079542,0.051439
-0.13914,0.058887,0.094117,0.18272,0.034158,0.17798,-0.029953,-0.16832
-0.016064,0.0017607,-0.033378,0.0058481,-0.22621,-0.2759,-0.17136,-0.14026
-0.11423,-0.13535,-0.14438,-0.14474,-0.10447,-0.25716,-0.19789,-0.21599
0.18725,-0.023416,-0.033039,-0.16203,-0.0056216,0.02512,-0.17357,-0.11387
-0.19127,-0.31326,-0.27579,-0.39746,-0.31303,-0.18636,-0.002293,-0.023774
-0.0015266,0.098645,0.14734,0.1091,0.030789,-0.016836,-0.0049518,-0.021426
0.30339,0.022075,-0.06773,-0.023171,-0.16499,-0.18747,-0.34392,-0.30186
0.0665,-0.26435,-0.35073,-0.17873,-0.11466,-0.042749,0.17026,0.16586
-0.14806,-0.068502,-0.12755,0.039403,0.1382,0.11408,0.11814,0.21207
-0.080566,0.16985,0.11277,0.098341,0.10252,0.15812,0.018296,-0.14816
0.094529,0.11245,0.073792,-0.094965,-0.1185,-0.14684,-0.1255,-0.084707
