ORIG,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8
1.761696,3.20731512848763,-1.66009101083964,0.0620271533810679,0.197484282527276,-0.581022134472349,0.420096315142861,-0.188248618516148,-0.040877521049486
1.774656,3.20400708774709,-1.3752512522551,-0.00266983157186087,0.066295193212124,0.44693798214408,-0.69368802007511,0.464966930060061,0.0794261449994732
1.910304,3.20557609263628,-0.821759230617014,-0.0569981834396902,-0.105635861701643,0.715616440139328,0.0516467308699437,-0.494213089037763,-0.0784689700308004
2.111616,3.22240961866876,-0.0587873344399616,-0.0344692440321206,-0.212966200737894,-0.283610428688425,0.639055511059067,0.238075597151407,0.0125274874486358
2.402784,3.26086699049722,0.788124453574417,0.0451802139795443,-0.19927567456039,-0.85077965890531,-0.512030668234186,0.13584998930707,0.0799957092031248
2.99808,3.3134737935136,1.52388564038392,0.0718975330637888,-0.0834425181946786,0.0224021211328843,-0.317370426378105,-0.465344707415629,-0.202854461872914
8.399808,3.37625846075487,1.95445750602198,-0.0273261024360136,0.0977259349142445,0.895632901128857,0.743152812666826,0.55588397873073,0.306153600812989
3.053376,3.44065169693164,1.93578702690233,-0.214246016181918,0.253239345048948,0.24419870546645,-0.18304734592521,-0.341830504928878,-0.347083608925353
2.867616,3.53015124576665,1.4680396960624,-0.300296998018126,0.288901524714395,-0.837446620815048,-0.616173248566763,-0.0648901154265428,0.299020550337685
2.914272,3.64434306577295,0.611670208885833,-0.194068605870065,0.0330897801947162,-0.569726802995552,0.522559571891848,0.377918428720203,-0.214984231183342
3.502656,3.77759476536756,-0.493249551764275,0.0407574282518869,-0.440114451347281,0.625300762490515,0.247364803317307,-0.477493898890297,0.0776762901389002
1.876608,3.91572460929551,-1.63791777430517,0.230831958054678,-0.68670276043487,0.793624880909787,-0.652651807786235,0.315486457037089,0.0734849696270859
1.3981248,4.05770392813659,-2.54207473212057,0.254959612635171,-0.258773469445615,-0.347025971165927,0.17851125112043,0.00939418569924382,-0.204883890258478
1.3571712,4.20001287629274,-2.94051648409214,0.101919720699571,0.626195331619954,-0.949021050908676,0.506024532854054,-0.32049367553837,0.285025803100672
2.6462592,4.34126508090911,-2.65415574164617,-0.117817066904409,1.09573498869917,0.0291844787954116,-0.482150471648837,0.456296897063565,-0.294098764388104
4.2768,4.479626364143,-1.66080374091741,-0.251516963752972,0.477892658797045,1.02305593215659,-0.187078082029942,-0.349499011927642,0.23078213579052
4.205088,4.60758765505493,-0.130858584473783,-0.208122206255063,-0.820472390157197,0.317954043048845,0.586974469787627,0.070603163999302,-0.09989845351094
4.48416,4.73687104594743,1.6253124081749,0.0158207438169205,-1.47130687771626,-0.972185302787139,-0.152451445723049,0.255434902999914,-0.0545190684351406
