X1,X2,X3,Y
-0.5474169135069638,-0.5406016388580025,-0.5349309801908688,-0.5290933924742119
-0.5406016388580025,-0.5349309801908688,-0.5290933924742119,-0.5252967997833355
-0.5349309801908688,-0.5290933924742119,-0.5252967997833355,-0.5201668461804418
-0.5290933924742119,-0.5252967997833355,-0.5201668461804418,-0.5180372560038371
-0.5252967997833355,-0.5201668461804418,-0.5180372560038371,-0.5288191543243227
-0.5201668461804418,-0.5180372560038371,-0.5288191543243227,-0.5180428524977283
-0.5180372560038371,-0.5288191543243227,-0.5180428524977283,-0.4834927580707008
-0.5288191543243227,-0.5180428524977283,-0.4834927580707008,-0.4502212788326402
-0.5180428524977283,-0.4834927580707008,-0.4502212788326402,-0.4214932198849528
-0.4834927580707008,-0.4502212788326402,-0.4214932198849528,-0.38270373325679585
-0.4502212788326402,-0.4214932198849528,-0.38270373325679585,-0.34110738289913634
-0.4214932198849528,-0.38270373325679585,-0.34110738289913634,-0.2974038580274194
-0.38270373325679585,-0.34110738289913634,-0.2974038580274194,-0.2537533995973129
-0.34110738289913634,-0.2974038580274194,-0.2537533995973129,-0.21145444158788795
-0.2974038580274194,-0.2537533995973129,-0.21145444158788795,-0.175756720352233
-0.2537533995973129,-0.21145444158788795,-0.175756720352233,-0.1437401355807012
-0.21145444158788795,-0.175756720352233,-0.1437401355807012,-0.10546272439098148
-0.175756720352233,-0.1437401355807012,-0.10546272439098148,-0.09343919824825597
-0.1437401355807012,-0.10546272439098148,-0.09343919824825597,-0.11339996293549037
-0.10546272439098148,-0.09343919824825597,-0.11339996293549037,-0.13478136581007838
-0.09343919824825597,-0.11339996293549037,-0.13478136581007838,-0.1586393289723277
-0.11339996293549037,-0.13478136581007838,-0.1586393289723277,-0.18435261882344023
-0.13478136581007838,-0.1586393289723277,-0.18435261882344023,-0.21129813505656292
-0.1586393289723277,-0.18435261882344023,-0.21129813505656292,-0.24055611094840634
-0.18435261882344023,-0.21129813505656292,-0.24055611094840634,-0.27208750598792675
-0.21129813505656292,-0.24055611094840634,-0.27208750598792675,-0.2995097565895264
-0.24055611094840634,-0.27208750598792675,-0.2995097565895264,-0.3198523649050419
-0.27208750598792675,-0.2995097565895264,-0.3198523649050419,-0.32026578201451517
-0.2995097565895264,-0.3198523649050419,-0.32026578201451517,-0.30306145438870546
-0.3198523649050419,-0.32026578201451517,-0.30306145438870546,-0.26386448237965165
-0.32026578201451517,-0.30306145438870546,-0.26386448237965165,-0.2206514509660571
-0.30306145438870546,-0.26386448237965165,-0.2206514509660571,-0.1859133124261736
-0.26386448237965165,-0.2206514509660571,-0.1859133124261736,-0.15257452057269905
-0.2206514509660571,-0.1859133124261736,-0.15257452057269905,-0.11874579619713133
-0.1859133124261736,-0.15257452057269905,-0.11874579619713133,-0.0854558946707944
-0.15257452057269905,-0.11874579619713133,-0.0854558946707944,-0.05246731849375119
-0.11874579619713133,-0.0854558946707944,-0.05246731849375119,-0.018159784508815058
-0.0854558946707944,-0.05246731849375119,-0.018159784508815058,0.010330084043383536
-0.05246731849375119,-0.018159784508815058,0.010330084043383536,0.03990928108997904
-0.018159784508815058,0.010330084043383536,0.03990928108997904,0.03765229017613292
0.010330084043383536,0.03990928108997904,0.03765229017613292,0.009492020301155923
0.03990928108997904,0.03765229017613292,0.009492020301155923,-0.050703153060594364
0.03765229017613292,0.009492020301155923,-0.050703153060594364,-0.11030350505837427
0.009492020301155923,-0.050703153060594364,-0.11030350505837427,-0.16916312720624138
-0.050703153060594364,-0.11030350505837427,-0.16916312720624138,-0.2275097152638259
-0.11030350505837427,-0.16916312720624138,-0.2275097152638259,-0.2861885793030119
-0.16916312720624138,-0.2275097152638259,-0.2861885793030119,-0.3456724326734836
-0.2275097152638259,-0.2861885793030119,-0.3456724326734836,-0.4059607926880253
-0.2861885793030119,-0.3456724326734836,-0.4059607926880253,-0.4665773786319324
-0.3456724326734836,-0.4059607926880253,-0.4665773786319324,-0.5221113324333979
-0.4059607926880253,-0.4665773786319324,-0.5221113324333979,-0.5860630220896245
-0.4665773786319324,-0.5221113324333979,-0.5860630220896245,-0.6353432452830922
-0.5221113324333979,-0.5860630220896245,-0.6353432452830922,-0.6628339065395426
-0.5860630220896245,-0.6353432452830922,-0.6628339065395426,-0.6349234858721802
-0.6353432452830922,-0.6628339065395426,-0.6349234858721802,-0.5909346149688324
-0.6628339065395426,-0.6349234858721802,-0.5909346149688324,-0.5336314581316777
-0.6349234858721802,-0.5909346149688324,-0.5336314581316777,-0.46959397961524185
-0.5909346149688324,-0.5336314581316777,-0.46959397961524185,-0.4024870929598643
-0.5336314581316777,-0.46959397961524185,-0.4024870929598643,-0.33346348926415426
-0.46959397961524185,-0.4024870929598643,-0.33346348926415426,-0.25944930510304254
-0.4024870929598643,-0.33346348926415426,-0.25944930510304254,-0.18310647174084804
-0.33346348926415426,-0.25944930510304254,-0.18310647174084804,-0.11192384779417253
-0.25944930510304254,-0.18310647174084804,-0.11192384779417253,-0.03703539477224904
-0.18310647174084804,-0.11192384779417253,-0.03703539477224904,0.034764500535387155
-0.11192384779417253,-0.03703539477224904,0.034764500535387155,0.06476762811491588
-0.03703539477224904,0.034764500535387155,0.06476762811491588,0.05082043930103519
0.034764500535387155,0.06476762811491588,0.05082043930103519,0.022597992095521935
0.06476762811491588,0.05082043930103519,0.022597992095521935,-0.0208043954750724
0.05082043930103519,0.022597992095521935,-0.0208043954750724,-0.07411369226603781
0.022597992095521935,-0.0208043954750724,-0.07411369226603781,-0.13046263869475028
-0.0208043954750724,-0.07411369226603781,-0.13046263869475028,-0.18720167563650325
-0.07411369226603781,-0.13046263869475028,-0.18720167563650325,-0.24976559915029273
-0.13046263869475028,-0.18720167563650325,-0.24976559915029273,-0.315801486890525
-0.18720167563650325,-0.24976559915029273,-0.315801486890525,-0.3788229825175965
-0.24976559915029273,-0.315801486890525,-0.3788229825175965,-0.4413530008268124
-0.315801486890525,-0.3788229825175965,-0.4413530008268124,-0.5018562729014779
-0.3788229825175965,-0.4413530008268124,-0.5018562729014779,-0.5327484473997335
-0.4413530008268124,-0.5018562729014779,-0.5327484473997335,-0.5684415162032563
-0.5018562729014779,-0.5327484473997335,-0.5684415162032563,-0.6016215080996252
-0.5327484473997335,-0.5684415162032563,-0.6016215080996252,-0.6273921960672422
-0.5684415162032563,-0.6016215080996252,-0.6273921960672422,-0.6477716778487279
-0.6016215080996252,-0.6273921960672422,-0.6477716778487279,-0.6669982236469439
-0.6273921960672422,-0.6477716778487279,-0.6669982236469439,-0.6858002821721682
-0.6477716778487279,-0.6669982236469439,-0.6858002821721682,-0.7011040650465108
-0.6669982236469439,-0.6858002821721682,-0.7011040650465108,-0.7124991418895454
-0.6858002821721682,-0.7011040650465108,-0.7124991418895454,-0.7220694596193586
-0.7011040650465108,-0.7124991418895454,-0.7220694596193586,-0.729792773177244
-0.7124991418895454,-0.7220694596193586,-0.729792773177244,-0.7324450633115296
-0.7220694596193586,-0.729792773177244,-0.7324450633115296,-0.7300507190454568
-0.729792773177244,-0.7324450633115296,-0.7300507190454568,-0.7182592701188468
-0.7324450633115296,-0.7300507190454568,-0.7182592701188468,-0.7025799115595477
-0.7300507190454568,-0.7182592701188468,-0.7025799115595477,-0.6706271176475831
-0.7182592701188468,-0.7025799115595477,-0.6706271176475831,-0.6304514094306896
-0.7025799115595477,-0.6706271176475831,-0.6304514094306896,-0.5843922550801499
-0.6706271176475831,-0.6304514094306896,-0.5843922550801499,-0.5369771098173487
-0.6304514094306896,-0.5843922550801499,-0.5369771098173487,-0.48682699161899945
-0.5843922550801499,-0.5369771098173487,-0.48682699161899945,-0.4374134614329849
-0.5369771098173487,-0.48682699161899945,-0.4374134614329849,-0.39046866613463527
-0.48682699161899945,-0.4374134614329849,-0.39046866613463527,-0.34474340066700226
-0.4374134614329849,-0.39046866613463527,-0.34474340066700226,-0.3060791064048879
-0.39046866613463527,-0.34474340066700226,-0.3060791064048879,-0.27584972375720906
-0.34474340066700226,-0.3060791064048879,-0.27584972375720906,-0.24582484012598216
-0.3060791064048879,-0.27584972375720906,-0.24582484012598216,-0.2229578452433716
-0.27584972375720906,-0.24582484012598216,-0.2229578452433716,-0.22939346187432785
-0.24582484012598216,-0.2229578452433716,-0.22939346187432785,-0.24710394742529462
-0.2229578452433716,-0.22939346187432785,-0.24710394742529462,-0.26933586665459597
-0.22939346187432785,-0.24710394742529462,-0.26933586665459597,-0.29225398162080163
-0.24710394742529462,-0.26933586665459597,-0.29225398162080163,-0.3190276590973451
-0.26933586665459597,-0.29225398162080163,-0.3190276590973451,-0.34486092512898536
-0.29225398162080163,-0.3190276590973451,-0.34486092512898536,-0.36658164737162
-0.3190276590973451,-0.34486092512898536,-0.36658164737162,-0.376632837194812
-0.34486092512898536,-0.36658164737162,-0.376632837194812,-0.37919619744480415
-0.36658164737162,-0.376632837194812,-0.37919619744480415,-0.3876945632249028
-0.376632837194812,-0.37919619744480415,-0.3876945632249028,-0.39461721816448536
-0.37919619744480415,-0.3876945632249028,-0.39461721816448536,-0.39032166055656214
-0.3876945632249028,-0.39461721816448536,-0.39032166055656214,-0.3818288427647595
