X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y
-0.18846570087477343,-0.3632106231725153,-0.5746037453362982,-0.12933545848644434,0.6730311045481381,0.1423896630688355,-0.5522130134215306,-0.026905269922752884,0.15312549078554372,-0.43034735325177387,-0.9628648318599634,0.18091458430983853,-0.21251242484305244,0.47969847846831715,0.15900613524103058,-0.28863434819014744,1.0,-0.4063675562253124,0.2883519765362377,-0.16951526390271854,0.2912938902007356,-1.0,-0.7155112305440277,0.3321095060432293,-0.1578328866924672,0.47509426801525456,-0.8183786763258399
-0.29585098482320216,-0.3737780209391711,-0.5529683095617131,-0.03239189905392492,0.6104229634673268,0.4857541851109439,-0.4581759044427415,0.02226073935299855,0.2014936214776637,-0.45588290060241454,-0.9064977141293201,0.067241469683198,-0.2715681743712105,0.42687541730717204,0.19524868056985945,-0.04580186281432874,0.9719403246398626,-0.14821392638129505,-0.0047683407018418444,-0.32166379353451424,0.32524643153188615,-0.9544209867368136,-0.6309590137979593,0.2666604073294938,-0.11179029491114667,0.4226450371818855,-0.9054017874719476
-0.28314690439415213,-0.35897037656546804,-0.5125363866176647,0.03748794871055017,0.3452773978106993,0.8050779743482481,-0.31652688234343906,0.12478599604550378,0.230154758189399,-0.536120187724557,-0.7860519436557339,-0.18848938747428978,-0.3418766902637551,0.3625371504254884,0.2092661833096039,0.15963424995039,0.9484881248661683,-0.14342176744310386,-0.15666683330719133,-0.19335630730236608,0.3538480654383678,-0.8977787746589068,-0.6018193418409974,-0.06444774202411985,-0.12614393355057607,0.31417787846830647,-0.7535139178707824
-0.20215165582658023,-0.35936443359508474,-0.4821898095899546,0.0198266967808014,-0.06852859287202073,0.9566542485982978,-0.22793522288085977,0.2410642460957828,0.22107971612067412,-0.6819048452362023,-0.5756783820322744,-0.2939983169395972,-0.31218198662696073,0.3160656891639002,0.20364207256667854,-0.056404703819631696,0.9005748093034425,-0.3362949243811495,-0.04465798934469567,-0.07953466243306251,0.3519185209632876,-0.8006752730264284,-0.5623588319083759,-0.4103117809512762,-0.15372324603630594,0.22108886519753157,-0.7998129847631796
-0.1788290039736513,-0.3598366158661801,-0.4508491553230607,-0.11351715011217489,-0.4715341915100796,0.79394576019436,-0.38225787736846795,0.2586006737357438,0.16691458848027896,-0.851096399568475,-0.3266300634636594,-0.03174243048780789,-0.22936151303862418,0.3128937535033056,0.21247491396893814,-0.38618567539973636,0.8321902139003086,-0.40660331446922715,0.09502227002463881,-0.06469142253488425,0.33143515365922105,-0.702692202214896,-0.4270150034015615,-0.08501430074347494,0.0030641721027098168,0.3971052401154189,-0.6310976810110634
-0.2847593818559595,-0.2901111629572327,-0.3647591727577234,-0.3216572707987041,-0.6582585555992752,0.36849438703463355,-0.707956556528037,0.1994140289493529,0.09256054196902874,-0.9279655778994014,-0.23210698415377717,0.07333922478852628,-0.14872757485807986,0.3687959531748264,0.27124403879353576,-0.19439993226258212,0.7870585842567639,-0.14399398937040342,-0.013129827521330184,-0.3621286006284684,0.34465174923827857,-0.6556861763352262,-0.3407197634303385,0.1391657861823703,0.10801255391340536,0.45619996514917704,0.11172487105791573
-0.4707775997274345,-0.08653878098701173,-0.18001873449322014,-0.5088473459335349,-0.5202720085877153,-0.05639815803325099,-0.8775662445241413,0.22182392364075687,0.038907837376836785,-0.8941309540198936,-0.32160602263238425,-0.19111282348796943,-0.09035384460871188,0.3595837160230373,0.2957306033339211,-0.14755820178288825,0.7218299645327162,-0.0481960033848533,-0.1521125070110988,0.05211177330201,0.35897176919905505,-0.5889359277240723,-0.357341649518394,-0.16972410303074947,0.08978019261921122,0.3572738542301488,0.1612268199535416
-0.5600301602182167,0.2230462548688421,0.06740811622385778,-0.5790975906416083,-0.16368022050950615,-0.20596700297657744,-0.6372920813636522,0.44939120689593426,0.025439714851210438,-0.8398099032986688,-0.4352670142519015,-0.5159784888154866,-0.042855207099758874,0.3043337182743462,0.31228945548014386,-0.16284503355549373,0.6598095379197904,0.044210410236572795,-0.10155941187978323,-0.45109943685399156,0.3813966115709915,-0.5458208772273065,-0.36050810038132364,-0.463496639508441,0.05997502439144142,0.21730318005420135,-0.6946533328083783
-0.3854171414866763,0.4907694878781035,0.24671161174178335,-0.5132886136231158,0.14881215868397035,-0.06241470817377681,-0.13406941359658242,0.7981993621511339,0.03618728105873181,-0.8521681779961863,-0.41953220734268426,-0.5672923501394145,-0.0032454221703172026,0.2771648275456333,0.36088372002275504,0.07000066948792427,0.6483453442147689,-0.012871773802537123,-0.16543874472086362,-0.24291854296864723,0.39687491622348303,-0.5431867196920608,-0.2648265054100437,-0.05540153030932016,0.18954955667976758,0.3725159388050516,-0.7582385133272963
-0.0050862399749097564,0.5478345366758179,0.227047258047667,-0.39415714528550094,0.23895561094697393,0.07211472754877946,0.10486098185530235,0.9797122513132224,0.037448383491045734,-0.9376693575555843,-0.2540641767399364,-0.13393798597823148,-0.07799541714463021,0.1717284243702113,0.3509362048303195,-0.28761805813663344,0.5825905298841991,0.12227939424566103,-0.3025189167747706,0.1504156749866261,0.4097539200613023,-0.47686356139085917,-0.17525654772655108,0.3238658976641493,0.23775790550140474,0.4701777532318685,-0.8954683255246272
