ORIG,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9
2.571264,1.151092193,1.075206064,0.007846898,-1.288495607,-1.216249844,-2.285414302,-1.80156163,-0.050298324,6.931824611
2.370816,0.172406454,0.926941555,0.165479571,-1.131745582,-0.917824191,-1.962938063,-1.769117262,-0.032309313,6.928228423
2.919456,-0.117403979,0.875170382,0.337072343,-0.971274144,-0.641252389,-1.655498072,-1.736419373,-0.014460239,6.924636266
2.48832,-2.101130029,1.286013032,0.467253644,-0.808543021,-0.38588176,-1.362822239,-1.703475771,0.003249284,6.921048147
3.508704,-2.875466832,2.559527112,0.500651903,-0.645013942,-0.151059624,-1.084638477,-1.670294267,0.020819644,6.917464074
5.0544,-4.059226233,4.765561581,0.381895548,-0.482148636,0.063866697,-0.820674695,-1.636882669,0.038251226,6.913884052
15.13296,4.424657144,6.087722986,0.055613007,-0.321408831,0.259549882,-0.570658804,-1.603248786,0.055544418,6.91030809
7.954848,-1.873911661,4.796618371,-0.511930294,-0.164256256,0.436642611,-0.334318715,-1.569400428,0.072699604,6.906736194
3.70656,-3.218244992,2.210363298,-1.262469318,-0.01215264,0.595797562,-0.111382338,-1.535345404,0.089717172,6.90316837
3.88368,-0.522861868,0.090253152,-2.092857987,0.133440289,0.737667414,0.098422415,-1.501091523,0.106597508,6.899604626
4.82112,1.755917406,-1.0854652,-2.881370007,0.271060802,0.862904847,0.295367633,-1.466646594,0.123340999,6.896044968
2.785536,0.111351977,-1.572834232,-3.4697394,0.39924717,0.972162539,0.479725407,-1.432018426,0.139948031,6.892489404
1.995408,-0.365505248,-1.953760395,-3.679524471,0.516563616,1.066093169,0.651767825,-1.397214829,0.15641899,6.888937939
2.636928,0.236145871,-2.38621173,-3.383707291,0.621453907,1.145349416,0.811766976,-1.362243611,0.172754263,6.885390581
4.258656,1.223087062,-2.948910364,-2.549339753,0.711164636,1.21058396,0.95999495,-1.327112583,0.188954236,6.881847338
5.39136,1.275431814,-3.555195447,-1.227986874,0.781413785,1.262449478,1.096723836,-1.291829552,0.205019296,6.878308214
6.454944,0.103922465,-3.253071234,0.395031614,0.827593246,1.301598651,1.222225723,-1.256402329,0.220949829,6.874773219
5.67648,-4.789162855,-1.034847536,2.054388078,0.845094913,1.328684157,1.3367727,-1.220838723,0.236746221,6.871242357
10.097568,-5.053799867,2.375017897,3.444320149,0.829310681,1.344358675,1.440636857,-1.185146542,0.252408859,6.867715637
25.203744,6.301277852,4.900249739,4.244139249,0.775554582,1.349275245,1.534090283,-1.149333596,0.26793813,6.864193064
20.9952,2.826680773,4.408357421,4.200419976,0.680257495,1.3440892,1.617405067,-1.113407694,0.283334419,6.860674646
12.829536,-1.834382026,1.698517893,3.369569008,0.546537919,1.329464057,1.690853298,-1.077376645,0.298598113,6.857160391
5.62464,-4.634607123,-1.534900475,2.015466948,0.383504126,1.306081875,1.754707066,-1.041248259,0.313729599,6.853650303
4.392576,-1.720807766,-3.664562974,0.435083421,0.202865971,1.274630134,1.80923846,-1.005030344,0.328729262,6.850144391
2.839104,-1.501947958,-3.886783864,-1.068431239,0.017341972,1.235800322,1.854719569,-0.96873071,0.34359749,6.846642661
