1,1,1,1,1,1,1
0.99774,0.866,0.51425,0.32729,0.00038001,-0.50368,-0.88597
-0.96941,-0.9972,-0.99335,-0.98774,-0.98849,-0.98647,-0.98204
0.629,0.80042,0.57238,0.34727,0.0013654,-0.42361,-0.68689
0.17536,-0.65321,-0.79401,-0.72079,-0.80602,-0.71831,-0.12323
-0.01521,-0.21965,-0.16743,0.087442,0.28881,0.39581,0.38191
0.00035577,0.048521,-0.13245,-0.047455,-0.011809,-0.015067,-0.089185
-0.02787,0.12486,-0.01149,-0.071174,-0.040116,0.071135,-0.030106
0.30351,0.17175,0.11617,-0.033681,-0.051992,-0.25958,-0.16238
0.17363,-0.21967,-0.075665,-0.11121,-0.11533,-0.02343,0.036014
0.10461,-0.23228,0.044942,0.12776,0.064751,0.24571,0.18772
-0.30956,-0.3,-0.0089413,0.091817,0.10745,-0.0066894,0.099467
-0.10899,0.070473,0.16283,0.15817,0.22936,0.041659,-0.27909
-0.18528,-0.13027,-0.21629,-0.29798,-0.32549,-0.27445,-0.17214
-0.23536,-0.054793,-0.089392,-0.13541,-0.26299,-0.23736,-0.27474
0.21374,0.068509,-0.10736,-0.13868,-0.23922,-0.30346,-0.32576
-0.001693,-0.31699,-0.4099,-0.39827,-0.26686,-0.21069,-0.072642
0.0075539,-0.08651,-0.10133,-0.081323,0.055486,0.018382,0.055604
-0.041724,-0.035319,-0.11742,-0.091433,-0.1646,-0.056595,-0.047422
0.11335,0.071457,-0.028515,0.028968,-0.065124,0.029683,-0.10312
0.11798,-0.078382,-0.13338,-0.10326,-0.03512,-0.21645,0.014843
