X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
-0.8758435001305331,-0.8737881710674095,-0.8219306377824422,-0.7886501171834007,-0.7998753759127686,-0.9309421292458109,-0.6565161737598906,-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067
-0.8737881710674095,-0.8219306377824422,-0.7886501171834007,-0.7998753759127686,-0.9309421292458109,-0.6565161737598906,-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332
-0.8219306377824422,-0.7886501171834007,-0.7998753759127686,-0.9309421292458109,-0.6565161737598906,-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372
-0.7886501171834007,-0.7998753759127686,-0.9309421292458109,-0.6565161737598906,-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372,-0.6760022743006595
-0.7998753759127686,-0.9309421292458109,-0.6565161737598906,-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372,-0.6760022743006595,-0.36979776945413434
-0.9309421292458109,-0.6565161737598906,-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372,-0.6760022743006595,-0.36979776945413434,-0.8289661872677503
-0.6565161737598906,-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372,-0.6760022743006595,-0.36979776945413434,-0.8289661872677503,-0.21908681334469815
-0.8121282991736984,-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372,-0.6760022743006595,-0.36979776945413434,-0.8289661872677503,-0.21908681334469815,0.30166242524481657
-0.2348970369071881,-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372,-0.6760022743006595,-0.36979776945413434,-0.8289661872677503,-0.21908681334469815,0.30166242524481657,-0.38311788280553205
-0.6540655891077045,-0.7720493824427862,-0.8586894075652315,-0.8978987620002067,-0.8955272284658332,-0.834183561043372,-0.6760022743006595,-0.36979776945413434,-0.8289661872677503,-0.21908681334469815,0.30166242524481657,-0.38311788280553205,-0.733709590303748
