X1,X2,X3,Y
-0.5025169634824806,-0.5009100281266581,-0.49978885474463075,-0.4992213835420902
-0.5009100281266581,-0.49978885474463075,-0.4992213835420902,-0.4988977827795924
-0.49978885474463075,-0.4992213835420902,-0.4988977827795924,-0.4917878568841092
-0.4992213835420902,-0.4988977827795924,-0.4917878568841092,-0.4769280454736248
-0.4988977827795924,-0.4917878568841092,-0.4769280454736248,-0.4692093051824643
-0.4917878568841092,-0.4769280454736248,-0.4692093051824643,-0.45569525802871513
-0.4769280454736248,-0.4692093051824643,-0.45569525802871513,-0.4311958775216881
-0.4692093051824643,-0.45569525802871513,-0.4311958775216881,-0.4031808188801044
-0.45569525802871513,-0.4311958775216881,-0.4031808188801044,-0.37234397768713434
-0.4311958775216881,-0.4031808188801044,-0.37234397768713434,-0.3386027718308895
-0.4031808188801044,-0.37234397768713434,-0.3386027718308895,-0.30433890183712675
-0.37234397768713434,-0.3386027718308895,-0.30433890183712675,-0.271040681428274
-0.3386027718308895,-0.30433890183712675,-0.271040681428274,-0.23887291917747888
-0.30433890183712675,-0.271040681428274,-0.23887291917747888,-0.20499137197021855
-0.271040681428274,-0.23887291917747888,-0.20499137197021855,-0.17277910847146327
-0.23887291917747888,-0.20499137197021855,-0.17277910847146327,-0.1398279805584003
-0.20499137197021855,-0.17277910847146327,-0.1398279805584003,-0.10384705166301456
-0.17277910847146327,-0.1398279805584003,-0.10384705166301456,-0.08555541583162607
-0.1398279805584003,-0.10384705166301456,-0.08555541583162607,-0.0891029659676964
-0.10384705166301456,-0.08555541583162607,-0.0891029659676964,-0.09539342238417381
-0.08555541583162607,-0.0891029659676964,-0.09539342238417381,-0.10452972181106146
-0.0891029659676964,-0.09539342238417381,-0.10452972181106146,-0.11742511019653756
-0.09539342238417381,-0.10452972181106146,-0.11742511019653756,-0.1321021014657171
-0.10452972181106146,-0.11742511019653756,-0.1321021014657171,-0.14823382325594914
-0.11742511019653756,-0.1321021014657171,-0.14823382325594914,-0.16461123192185179
-0.1321021014657171,-0.14823382325594914,-0.16461123192185179,-0.17723793325780568
-0.14823382325594914,-0.16461123192185179,-0.17723793325780568,-0.18281480647504855
-0.16461123192185179,-0.17723793325780568,-0.18281480647504855,-0.1765127559625086
-0.17723793325780568,-0.18281480647504855,-0.1765127559625086,-0.15867302763369007
-0.18281480647504855,-0.1765127559625086,-0.15867302763369007,-0.1310818848704124
-0.1765127559625086,-0.15867302763369007,-0.1310818848704124,-0.103616026409588
-0.15867302763369007,-0.1310818848704124,-0.103616026409588,-0.08333842819174953
-0.1310818848704124,-0.103616026409588,-0.08333842819174953,-0.06506414844189101
-0.103616026409588,-0.08333842819174953,-0.06506414844189101,-0.04893815382790778
-0.08333842819174953,-0.06506414844189101,-0.04893815382790778,-0.03164831783208655
-0.06506414844189101,-0.04893815382790778,-0.03164831783208655,-0.013251586409843474
-0.04893815382790778,-0.03164831783208655,-0.013251586409843474,0.007387741591141417
-0.03164831783208655,-0.013251586409843474,0.007387741591141417,0.022773511755049602
-0.013251586409843474,0.007387741591141417,0.022773511755049602,0.035543809210871524
0.007387741591141417,0.022773511755049602,0.035543809210871524,0.027769734241282595
0.022773511755049602,0.035543809210871524,0.027769734241282595,0.0025534525049313306
0.035543809210871524,0.027769734241282595,0.0025534525049313306,-0.03898601129922885
0.027769734241282595,0.0025534525049313306,-0.03898601129922885,-0.08351130816206553
0.0025534525049313306,-0.03898601129922885,-0.08351130816206553,-0.12891854049600282
-0.03898601129922885,-0.08351130816206553,-0.12891854049600282,-0.17122037591128414
-0.08351130816206553,-0.12891854049600282,-0.17122037591128414,-0.20833589225565274
-0.12891854049600282,-0.17122037591128414,-0.20833589225565274,-0.24356585424047683
-0.17122037591128414,-0.20833589225565274,-0.24356585424047683,-0.2829367748805929
