1,1,1,1,1,1,1,1,1
-0.18358,0.75597,0.89361,0.97392,0.98938,0.99662,0.99549,0.9981,1.0066
-0.19397,-0.85889,-0.97898,-0.99509,-0.99171,-0.98344,-0.99915,-0.99276,-0.99992
-0.1082,0.53297,0.8866,0.95406,0.96513,0.96481,1.0065,1.0033,0.99998
-0.049791,-0.63959,-0.67097,-0.85068,-0.92207,-0.9578,-1.0066,-0.99831,0.72156
-0.056579,0.081414,0.16692,0.50932,0.69715,0.8149,0.85119,0.81012,0.65419
-0.033761,-0.3961,-0.36919,-0.34587,-0.50566,-0.53711,-0.18267,-0.22111,0.55276
-0.072231,-0.11861,-0.062546,0.067151,0.19861,0.19108,0.14154,0.1221,0.10808
-0.062158,-0.054993,-0.091315,-0.14677,-0.17891,-0.025346,0.066821,-0.0070312,0.55214
-0.04459,0.019601,-0.1376,-0.1266,-0.025822,-0.05617,-0.22583,0.068569,0.26965
-0.083355,0.0013846,-0.085197,-0.14905,-0.043505,0.037199,0.080971,-0.0056734,0.52522
-0.0531,-0.053139,-0.087099,-0.08678,-0.015004,-0.048389,-0.043388,0.10636,0.28853
0.1406,0.02447,0.0066069,0.11355,-0.01303,0.039077,-0.070913,0.04325,0.16975
-0.024481,0.086797,0.016853,0.15406,-0.012085,0.027301,0.044977,-0.044493,0.29691
-0.037831,0.034001,-0.11441,0.16862,-0.086076,-0.012891,0.029829,0.065084,0.25548
-0.075773,0.017948,-0.10414,-0.0048349,-0.089671,0.038355,-0.070554,0.033883,0.13498
-0.055165,-0.025919,0.06019,-0.108,0.019453,0.053586,-0.021897,0.15554,0.11338
-0.032397,-0.12246,-0.076281,-0.050252,0.14321,0.051272,-0.046111,0.049154,0.030829
0.010138,-0.10436,-0.00052325,0.011182,-0.10462,0.040913,-0.011896,-0.0060768,0.14415
0.029548,-0.092385,-0.084159,-0.1093,0.06257,-0.027457,0.073377,-0.020026,0.15795
-0.010355,-0.058617,-0.11223,-0.048966,0.020089,-0.12156,-0.00042335,0.0188,0.13407
