ORIG,Trend,Periodic1,Periodic2,Periodic3,Periodic4,Periodic5,Periodic6,Periodic7,Periodic8,Periodic9,Periodic10,Noise
2.571264,4.640548839937447,-0.5641506238917356,-2.585496812631941,0.8752110933450608,1.5546978018776096,-1.5587689614230251,-1.0643745670499478,1.2362867297413087,-0.09729759569649193,0.4141150390933665,0.12260316777070002,-0.40211011107235617
2.370816,4.669908177074689,-0.5690136503585157,-2.5574250406489307,0.17434255643423463,0.8687309381730097,0.712399745047175,-0.19950638593740083,-1.0984394088973595,0.19560379512984044,-0.6415159178303292,0.04045918091449284,0.7752720108990705
2.919456,4.702550490466916,-0.28186662196674367,-1.952326706292465,-0.656243928600476,-0.4391841076922429,1.0581342132932707,1.1015984702308488,0.008650048930064417,-0.23582752816800567,0.7233567330252412,-0.2543232652966297,-0.8550617979297855
2.48832,4.748126155174063,0.21276129071107902,-0.8946576652680267,-0.9849439211340323,-1.157741972179414,-0.4438950956379534,0.18293262049280679,0.7946490539404178,0.14938803998727376,-0.7295875194872923,0.18284102614243053,0.42844798725863026
3.508704,4.824041799232354,0.7536858822621577,0.349748472690355,-0.5451762923593331,-0.6159392046219173,-1.1293534682500503,-1.013916914689964,-0.39654219392730106,0.033333379773582764,0.7522184030920498,0.19902929026986904,0.29757484652819255
5.0544,4.9141512736616955,1.1549774222328504,1.413514132379073,0.2550004010103087,0.511214981266213,-0.00842363820477309,-0.23293802885641499,-0.5946853026320179,-0.18411054834057694,-0.8013604402713356,-0.5684838791508856,-0.8044563730941269
15.13296,4.98717888682135,1.275494047678367,1.9589234411240943,0.7536452590934584,0.9980140306430061,1.1281051666706778,1.0062736598227946,0.7581142432272735,0.19978221282235212,0.7977665619663113,0.5573094376429754,0.7123530524873479
7.954848,4.991832715970558,1.0540695659918264,1.7921252406563204,0.5088452967037813,0.3658927551798832,0.16856133209108431,0.19113649976361285,-0.006672303576659967,-0.1087088171070712,-0.689332810524074,-0.15961626762873604,-0.15328520752051378
3.70656,5.144868787755532,0.5071073186515905,1.4042695371039569,-0.3404304673161101,-0.29228979521832754,-1.3166986693587326,-0.6674954768389979,-0.7325779167429679,0.04887876926320335,0.5324640935916156,-0.2286285293400286,-0.3529076515507256
3.88368,5.4085405524771835,-0.29081278963430973,0.8339119612747412,-1.1418990479308708,-0.5085728998532355,-0.7239782833154139,-0.37335103200134806,0.45446338538805364,-0.1031227215856001,-0.41812401553518797,0.291846202273449,0.45477868844254055
4.82112,5.692143039294273,-1.197699070157809,0.026368821787330517,-1.202733176891671,-0.44653050780489495,0.9796880781880085,0.46364027541492203,0.36331953630860025,0.1921288745984973,0.34237831872011615,-0.12986167941805835,-0.2617225100393163
