X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,Y
-0.6957283513184435,-0.6738360239166902,-0.6168248572498585,-0.531113783668514,-0.42799674431598966,-0.32838778330281715,-0.2534553455656777,-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228
-0.6738360239166902,-0.6168248572498585,-0.531113783668514,-0.42799674431598966,-0.32838778330281715,-0.2534553455656777,-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995
-0.6168248572498585,-0.531113783668514,-0.42799674431598966,-0.32838778330281715,-0.2534553455656777,-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547
-0.531113783668514,-0.42799674431598966,-0.32838778330281715,-0.2534553455656777,-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326
-0.42799674431598966,-0.32838778330281715,-0.2534553455656777,-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326,-0.573685042604261
-0.32838778330281715,-0.2534553455656777,-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326,-0.573685042604261,-0.6914204323455178
-0.2534553455656777,-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326,-0.573685042604261,-0.6914204323455178,-0.7318866788339351
-0.22645691222795994,-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326,-0.573685042604261,-0.6914204323455178,-0.7318866788339351,-0.6773670411322059
-0.26507485215481663,-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326,-0.573685042604261,-0.6914204323455178,-0.7318866788339351,-0.6773670411322059,-0.5013346374484796
-0.36094798437005415,-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326,-0.573685042604261,-0.6914204323455178,-0.7318866788339351,-0.6773670411322059,-0.5013346374484796,-0.2486411092815225
-0.485310594907554,-0.6090578308527737,-0.7003479971134884,-0.7281062266767004,-0.672509043000936,-0.5175281819367143,-0.2666104864035499,0.023553035578370185,0.26348081301245796,0.3783655548614393,0.3238519922054228,0.12462823192429995,-0.13009420221734547,-0.37602283635606326,-0.573685042604261,-0.6914204323455178,-0.7318866788339351,-0.6773670411322059,-0.5013346374484796,-0.2486411092815225,0.0005634978235466992
