1,1,1
-0.56455,0.43693,0.90519
-0.60401,-0.86177,-0.93796
-0.62146,0.20102,0.86223
-0.58575,-0.75919,-0.52952
-0.5407,0.2057,0.31894
-0.49187,-0.63787,0.024907
-0.41495,0.16253,0.61261
-0.42085,-0.68756,-0.75425
-0.51458,0.17277,0.36704
-0.3812,-0.64171,0.12732
-0.43825,0.25676,0.079061
-0.36433,-0.54963,-0.70644
-0.37862,0.12945,0.6045
-0.33561,-0.5649,0.30011
-0.31851,0.092817,0.0018838
-0.3601,-0.56209,-0.51465
-0.29159,0.075666,0.50392
-0.30578,-0.5433,0.050116
-0.31455,0.18996,-0.043381
-0.24358,-0.55319,-0.52098
