1,1,1
-0.57075,0.43792,0.91011
-0.59476,-0.865,-0.92957
-0.62336,0.19626,0.87307
-0.59889,-0.7466,-0.53453
-0.54319,0.20485,0.31715
-0.49298,-0.65205,0.040677
-0.41413,0.16889,0.61633
-0.41893,-0.68374,-0.74061
-0.50837,0.17624,0.36392
-0.37257,-0.6373,0.12109
-0.43923,0.23686,0.098648
-0.36715,-0.55923,-0.70718
-0.38064,0.13797,0.58286
-0.35447,-0.56463,0.2729
-0.31992,0.10141,0.00060513
-0.32669,-0.55779,-0.51564
-0.27632,0.086139,0.55074
-0.31366,-0.53893,0.073115
-0.32546,0.18586,-0.069103
-0.23449,-0.55156,-0.5118
