X1,X2,X3,X4,X5,Y
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9946804517310122,-0.9943503139782672,-0.9940212057554482,-0.9936929907920741,-0.9933655345411811,-0.9930387039783201
-0.9890457925980279,-0.9883884088888505,-0.9877330507026986,-0.9870794471506245,-0.9864273307585035,-0.985776437067712
-0.9830997448295604,-0.9821180168869529,-0.9811392775695787,-0.9801631230255187,-0.979189154477381,-0.9782169776272935
-0.9768460306541226,-0.9755428701277834,-0.9742436290839093,-0.972947772366623,-0.971654771523235,-0.9703641040161779
-0.9702883723002337,-0.968666700766544,-0.9670498479735095,-0.9654371491238108,-0.9638279477214821,-0.9622215945934774
-0.9634304919964057,-0.9614932409584357,-0.959561676966206,-0.9576350072469512,-0.955712448897538,-0.9537932277183074
-0.9562761119711498,-0.9540262228586663,-0.9517828587898205,-0.9495451006859119,-0.9473120408768219,-0.9450827817497812
-0.948828954452984,-0.9462693786224393,-0.9437171361721743,-0.9411711833905643,-0.9386304894847501,-0.9360940350470109
-0.9410927416704218,-0.9382264404049572,-0.9353682518410915,-0.932517009310777,-0.9296715605467387,-0.9268307659691123
-0.9330711958519757,-0.9299011403614256,-0.926739948524394,-0.9235863323964181,-0.9204390198882065,-0.9172967528752006
-0.9247680392261619,-0.9212972106470478,-0.9178359689499029,-0.914382906597359,-0.9109366333345726,-0.9074957741243859
-0.9161869940214935,-0.9124183834170266,-0.9086600558454426,-0.9049104858634706,-0.9011681667112503,-0.8974316080757865
-0.9073317824664834,-0.9032683908265677,-0.8992159519388371,-0.8951728241446185,-0.8911373858436615,-0.8871080330885093
-0.8982061267896474,-0.8938509650308767,-0.8895073999579051,-0.885173675390677,-0.8808480565572168,-0.8765288275216785
-0.8888137492195012,-0.8841698381851537,-0.8795381426304738,-0.8749167935515088,-0.8703039446773433,-0.8656977697343979
-0.8791583719845553,-0.8742287424446074,-0.869311922684359,-0.8644059325769932,-0.8595088160294488,-0.8546186380857863
-0.8692437173133282,-0.8640314099644348,-0.8588324828473933,-0.8536448464169901,-0.8484664364389555,-0.8432952109349587
-0.8590735074343272,-0.8535815728998505,-0.8481035658473897,-0.8426372890213742,-0.8371805717312817,-0.8317312666410255
-0.8486514645760769,-0.8428829634060484,-0.8371289144121754,-0.8313870143400157,-0.8256549877318413,-0.8199305835631017
-0.8379813109670815,-0.8319393136382376,-0.8259122712695742,-0.819897776322781,-0.813893450266053,-0.8078969400603031
-0.8270667688358601,-0.8207543557516233,-0.8144573791474053,-0.8081733289195406,-0.8018997251593358,-0.7956341144917423
-0.8159115604109279,-0.8093318219014058,-0.8027679807734925,-0.7962174260801663,-0.7896775782371062,-0.7831458852165292
-0.8045194079207958,-0.7976754442427908,-0.7908478188756604,-0.7840338217545261,-0.7772307753247771,-0.7704360305937847
-0.7928940335939789,-0.7857889549309842,-0.7787006361817301,-0.7716262698924858,-0.7645630822477734,-0.7575083289826189
-0.7810391596589938,-0.7736760861211887,-0.7663301754195208,-0.7589985244439219,-0.7516782648315081,-0.7443665587421472
-0.7689585083443531,-0.7613405699686046,-0.7537401793168617,-0.7461543393587,-0.7385800889014005,-0.7310144982314797
