,series_max,series_min
X1,14.543498797096658,-13.21087788533753
X2,13.152091557161402,-10.227897222245065
X3,6.775923129292633,-4.088206869662839
X4,8.277139889670524,-7.674180313324235
X5,5.974080015393737,-5.842675357128402
X6,9.694797965764723,-4.988620411348788
X7,5.037758489684809,-4.532606977458924
X8,8.7655241869765,-7.270001706144753
X9,3.412152479282107,-2.6722917729527347
X10,2.1042675640614474,-2.5352334551680302
X11,2.863929490497903,-2.5716334628388777
X12,4.614981722031384,-3.9530345433396246
X13,1.0816338966007422,-0.6730049042901626
X14,0.8993251462396479,-0.942310689532005
X15,1.7589784517230278,-1.404802196139897
X16,0.2949779179374205,-0.4825069199214612
X17,0.22089507420543036,-0.2734940084707592
X18,0.5029707945597832,-0.3193143570390062
X19,0.3188101493557474,-0.23865668033243842
X20,0.19521373493380692,-0.1641972316499645
X21,0.1001290287962846,-0.09743878861870632
X22,0.0674831953650781,-0.03504022498475322
X23,0.024215055190951726,-0.05633287853321941
X24,0.05957620274515393,-0.05280896873264191
X25,0.036256108801734584,-0.028571044369308234
X26,0.00931264774651056,-0.014881250559660003
X27,0.020614233722819144,-0.019190703904566793
X28,0.005650840084630187,-0.004594729874851865
Y,25.251264000000006,0.05609088
