,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,Y
0,4.753988112,6.212367813999999,5.2493525839999995,2.976082509,1.03774148,-0.061746348,0.34236054299999996,-0.20207613600000002,-0.933607683,-1.803458361,-2.716730393,-3.553862671,-0.442282509,-0.20342251100000003,0.022676377,0.23433025300000002,0.42985521299999996,0.607567356,0.388551934,0.5629729929999999,0.7243466040000001,0.8730394779999999,1.009418326,1.13384986,-1.490807505,-1.28229903,-1.083783755,-0.895079845,-0.716005463,-0.546378775,-1.5190906290000001,-1.4870840730000001,-1.454745714,-1.4220850619999998,-1.389111623,-0.043533492,-0.04116353,-0.038815134,-0.03648823,-0.034182749,6.966730237,6.9712330410000005,6.975702427000001,6.980138397,6.9845409510000005,6.988910087000001,6.993245807,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,5.39136
1,6.212367813999999,5.2493525839999995,2.976082509,1.03774148,-0.061746348,-0.626427423,-0.20207613600000002,-0.933607683,-1.803458361,-2.716730393,-3.553862671,-4.144135811,-0.20342251100000003,0.022676377,0.23433025300000002,0.42985521299999996,0.607567356,0.765782779,0.5629729929999999,0.7243466040000001,0.8730394779999999,1.009418326,1.13384986,1.246700792,-1.28229903,-1.083783755,-0.895079845,-0.716005463,-0.546378775,-0.386017944,-1.4870840730000001,-1.454745714,-1.4220850619999998,-1.389111623,-1.355834905,-0.04116353,-0.038815134,-0.03648823,-0.034182749,-0.031898618,6.9712330410000005,6.975702427000001,6.980138397,6.9845409510000005,6.988910087000001,6.993245807,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,6.454944
2,5.2493525839999995,2.976082509,1.03774148,-0.061746348,-0.626427423,-1.146142412,-0.933607683,-1.803458361,-2.716730393,-3.553862671,-4.144135811,-4.29483096,0.022676377,0.23433025300000002,0.42985521299999996,0.607567356,0.765782779,0.902823516,0.7243466040000001,0.8730394779999999,1.009418326,1.13384986,1.246700792,1.3483378330000002,-1.083783755,-0.895079845,-0.716005463,-0.546378775,-0.386017944,-0.23474113600000002,-1.454745714,-1.4220850619999998,-1.389111623,-1.355834905,-1.322264417,-0.038815134,-0.03648823,-0.034182749,-0.031898618,-0.029635767,6.975702427000001,6.980138397,6.9845409510000005,6.988910087000001,6.993245807,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,7.018558372,5.676480000000001
3,2.976082509,1.03774148,-0.061746348,-0.626427423,-1.146142412,-1.748808835,-1.803458361,-2.716730393,-3.553862671,-4.144135811,-4.29483096,-3.8694951769999997,0.23433025300000002,0.42985521299999996,0.607567356,0.765782779,0.902823516,1.016929937,0.8730394779999999,1.009418326,1.13384986,1.246700792,1.3483378330000002,1.439127695,-0.895079845,-0.716005463,-0.546378775,-0.386017944,-0.23474113600000002,-0.092366515,-1.4220850619999998,-1.389111623,-1.355834905,-1.322264417,-1.288409666,-0.03648823,-0.034182749,-0.031898618,-0.029635767,-0.027394123,6.980138397,6.9845409510000005,6.988910087000001,6.993245807,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,7.018558372,7.022660173999999,10.097567999999999
4,1.03774148,-0.061746348,-0.626427423,-1.146142412,-1.748808835,-2.547320546,-2.716730393,-3.553862671,-4.144135811,-4.29483096,-3.8694951769999997,-2.829535523,0.42985521299999996,0.607567356,0.765782779,0.902823516,1.016929937,1.1056907329999999,1.009418326,1.13384986,1.246700792,1.3483378330000002,1.439127695,1.519437089,-0.716005463,-0.546378775,-0.386017944,-0.23474113600000002,-0.092366515,0.041287753999999996,-1.389111623,-1.355834905,-1.322264417,-1.288409666,-1.2542801609999998,-0.034182749,-0.031898618,-0.029635767,-0.027394123,-0.025173617000000002,6.9845409510000005,6.988910087000001,6.993245807,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,7.018558372,7.022660173999999,7.02672856,25.203744
5,-0.061746348,-0.626427423,-1.146142412,-1.748808835,-2.547320546,-3.434838449,-3.553862671,-4.144135811,-4.29483096,-3.8694951769999997,-2.829535523,-1.251211474,0.607567356,0.765782779,0.902823516,1.016929937,1.1056907329999999,1.165645284,1.13384986,1.246700792,1.3483378330000002,1.439127695,1.519437089,1.5896327280000002,-0.546378775,-0.386017944,-0.23474113600000002,-0.092366515,0.041287753999999996,0.166403507,-1.355834905,-1.322264417,-1.288409666,-1.2542801609999998,-1.219885408,-0.031898618,-0.029635767,-0.027394123,-0.025173617000000002,-0.022974177000000002,6.988910087000001,6.993245807,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,7.018558372,7.022660173999999,7.02672856,7.030763528,20.9952
6,-0.626427423,-1.146142412,-1.748808835,-2.547320546,-3.434838449,-3.438874735,-4.144135811,-4.29483096,-3.8694951769999997,-2.829535523,-1.251211474,0.653623843,0.765782779,0.902823516,1.016929937,1.1056907329999999,1.165645284,1.1931149909999998,1.246700792,1.3483378330000002,1.439127695,1.519437089,1.5896327280000002,1.650081322,-0.386017944,-0.23474113600000002,-0.092366515,0.041287753999999996,0.166403507,0.28316258,-1.322264417,-1.288409666,-1.2542801609999998,-1.219885408,-1.185234915,-0.029635767,-0.027394123,-0.025173617000000002,-0.022974177000000002,-0.020795731,6.993245807,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,7.018558372,7.022660173999999,7.02672856,7.030763528,7.03476508,12.829536000000001
7,-1.146142412,-1.748808835,-2.547320546,-3.434838449,-3.438874735,-1.4128104590000001,-4.29483096,-3.8694951769999997,-2.829535523,-1.251211474,0.653623843,2.5853818630000003,0.902823516,1.016929937,1.1056907329999999,1.165645284,1.1931149909999998,1.18449358,1.3483378330000002,1.439127695,1.519437089,1.5896327280000002,1.650081322,1.701149583,-0.23474113600000002,-0.092366515,0.041287753999999996,0.166403507,0.28316258,0.39174680799999995,-1.288409666,-1.2542801609999998,-1.219885408,-1.185234915,-1.150338191,-0.027394123,-0.025173617000000002,-0.022974177000000002,-0.020795731,-0.018638208,6.997548108999999,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,7.018558372,7.022660173999999,7.02672856,7.030763528,7.03476508,7.038733215,5.62464
8,-1.748808835,-2.547320546,-3.434838449,-3.438874735,-1.4128104590000001,1.994564719,-3.8694951769999997,-2.829535523,-1.251211474,0.653623843,2.5853818630000003,4.183065201000001,1.016929937,1.1056907329999999,1.165645284,1.1931149909999998,1.18449358,1.136194125,1.439127695,1.519437089,1.5896327280000002,1.650081322,1.701149583,1.7432042230000002,-0.092366515,0.041287753999999996,0.166403507,0.28316258,0.39174680799999995,0.492338025,-1.2542801609999998,-1.219885408,-1.185234915,-1.150338191,-1.115204743,-0.025173617000000002,-0.022974177000000002,-0.020795731,-0.018638208,-0.016501536,7.0018169960000005,7.006052465,7.010254517000001,7.014423152999999,7.018558372,7.022660173999999,7.02672856,7.030763528,7.03476508,7.038733215,7.042667933,4.392576
9,-2.547320546,-3.434838449,-3.438874735,-1.4128104590000001,1.994564719,4.623727892,-2.829535523,-1.251211474,0.653623843,2.5853818630000003,4.183065201000001,5.064722914,1.1056907329999999,1.165645284,1.1931149909999998,1.18449358,1.136194125,1.044700849,1.519437089,1.5896327280000002,1.650081322,1.701149583,1.7432042230000002,1.776611954,0.041287753999999996,0.166403507,0.28316258,0.39174680799999995,0.492338025,0.585118069,-1.219885408,-1.185234915,-1.150338191,-1.115204743,-1.0798440790000001,-0.022974177000000002,-0.020795731,-0.018638208,-0.016501536,-0.014385646,7.006052465,7.010254517000001,7.014423152999999,7.018558372,7.022660173999999,7.02672856,7.030763528,7.03476508,7.038733215,7.042667933,7.046569235,2.8391040000000003
